Episode,A3C_Score,A2C_Score,ACER_Score
227,11.0,18.0,13.0
228,16.0,33.0,18.0
229,15.0,27.0,13.0
230,27.0,25.0,18.0
231,44.0,24.0,13.0
232,21.0,13.0,14.0
233,14.0,20.0,14.0
234,12.0,16.0,13.0
235,40.0,18.0,11.0
236,54.0,27.0,19.0
237,23.0,21.0,17.0
238,18.0,14.0,9.0
239,47.0,43.0,12.0
240,20.0,15.0,10.0
241,11.0,30.0,15.0
242,47.0,31.0,12.0
243,24.0,13.0,12.0
244,51.0,21.0,14.0
245,21.0,29.0,10.0
246,22.0,46.0,12.0
247,31.0,45.0,14.0
248,18.0,28.0,14.0
249,34.0,57.0,16.0
250,15.0,50.0,18.0
251,23.0,39.0,14.0
252,36.0,17.0,13.0
253,19.0,13.0,13.0
254,26.0,24.0,11.0
255,15.0,26.0,13.0
256,25.0,38.0,15.0
257,29.0,17.0,18.0
258,24.0,18.0,10.0
259,20.0,9.0,16.0
260,33.0,20.0,17.0
261,42.0,20.0,14.0
262,23.0,64.0,13.0
263,25.0,26.0,15.0
264,41.0,17.0,9.0
265,56.0,12.0,11.0
266,62.0,41.0,12.0
267,17.0,42.0,14.0
268,15.0,36.0,11.0
269,17.0,18.0,11.0
270,37.0,29.0,16.0
271,57.0,39.0,17.0
272,46.0,56.0,9.0
273,33.0,17.0,11.0
274,10.0,18.0,9.0
275,29.0,16.0,9.0
276,21.0,25.0,10.0
277,44.0,53.0,14.0
278,21.0,35.0,10.0
279,14.0,34.0,11.0
280,26.0,28.0,11.0
281,12.0,22.0,13.0
282,41.0,12.0,9.0
283,24.0,28.0,14.0
284,98.0,19.0,15.0
285,16.0,24.0,12.0
286,42.0,50.0,16.0
287,22.0,34.0,13.0
288,53.0,38.0,12.0
289,29.0,20.0,10.0
290,21.0,39.0,9.0
291,26.0,29.0,12.0
292,17.0,27.0,12.0
293,12.0,63.0,13.0
294,10.0,18.0,13.0
295,25.0,13.0,12.0
296,68.0,90.0,14.0
297,27.0,23.0,11.0
298,26.0,21.0,14.0
299,28.0,38.0,12.0
300,26.0,16.0,14.0
301,34.0,30.0,14.0
302,13.0,22.0,10.0
303,47.0,16.0,11.0
304,70.0,20.0,9.0
305,26.0,35.0,11.0
306,16.0,35.0,11.0
307,27.0,21.0,10.0
308,43.0,79.0,12.0
309,31.0,16.0,11.0
310,10.0,81.0,13.0
311,17.0,50.0,13.0
312,11.0,26.0,11.0
313,48.0,13.0,13.0
314,15.0,34.0,13.0
315,31.0,18.0,11.0
316,49.0,30.0,18.0
317,102.0,43.0,15.0
318,34.0,16.0,13.0
319,36.0,34.0,17.0
320,12.0,47.0,10.0
321,14.0,22.0,11.0
322,43.0,23.0,9.0
323,35.0,31.0,11.0
324,38.0,26.0,13.0
325,24.0,26.0,12.0
326,36.0,88.0,14.0
327,48.0,17.0,12.0
328,50.0,27.0,15.0
329,14.0,42.0,11.0
330,16.0,31.0,14.0
331,36.0,35.0,10.0
332,45.0,28.0,14.0
333,40.0,69.0,12.0
334,58.0,45.0,11.0
335,24.0,109.0,12.0
336,38.0,22.0,10.0
337,11.0,27.0,17.0
338,19.0,44.0,9.0
339,25.0,20.0,11.0
340,30.0,67.0,15.0
341,18.0,26.0,14.0
342,18.0,21.0,15.0
343,25.0,38.0,11.0
344,13.0,24.0,12.0
345,14.0,57.0,15.0
346,14.0,17.0,17.0
347,30.0,27.0,10.0
348,48.0,75.0,18.0
349,41.0,22.0,25.0
350,22.0,16.0,13.0
351,40.0,19.0,14.0
352,39.0,42.0,13.0
353,34.0,12.0,13.0
354,114.0,32.0,16.0
355,91.0,30.0,10.0
356,48.0,20.0,10.0
357,24.0,37.0,13.0
358,17.0,16.0,15.0
359,52.0,24.0,17.0
360,33.0,39.0,13.0
361,22.0,29.0,11.0
362,56.0,22.0,13.0
363,19.0,22.0,14.0
364,13.0,35.0,12.0
365,24.0,42.0,10.0
366,31.0,27.0,17.0
367,21.0,28.0,29.0
368,29.0,22.0,19.0
369,23.0,17.0,19.0
370,22.0,48.0,16.0
371,40.0,12.0,15.0
372,21.0,62.0,20.0
373,23.0,23.0,15.0
374,18.0,21.0,16.0
375,24.0,21.0,11.0
376,34.0,36.0,17.0
377,22.0,42.0,13.0
378,21.0,17.0,16.0
379,13.0,13.0,29.0
380,46.0,15.0,15.0
381,42.0,43.0,24.0
382,53.0,37.0,10.0
383,16.0,18.0,14.0
384,46.0,39.0,10.0
385,24.0,33.0,20.0
386,28.0,21.0,18.0
387,19.0,37.0,28.0
388,14.0,34.0,30.0
389,27.0,47.0,14.0
390,55.0,19.0,15.0
391,85.0,21.0,16.0
392,28.0,79.0,20.0
393,36.0,11.0,25.0
394,84.0,30.0,13.0
395,49.0,23.0,14.0
396,21.0,23.0,13.0
397,54.0,26.0,16.0
398,18.0,21.0,19.0
399,15.0,25.0,17.0
400,47.0,21.0,15.0
401,16.0,44.0,27.0
402,29.0,19.0,10.0
403,77.0,22.0,23.0
404,21.0,20.0,14.0
405,39.0,24.0,17.0
406,34.0,34.0,12.0
407,54.0,24.0,15.0
408,52.0,28.0,11.0
409,42.0,25.0,11.0
410,39.0,25.0,16.0
411,38.0,23.0,15.0
412,61.0,23.0,15.0
413,20.0,24.0,12.0
414,18.0,49.0,11.0
415,85.0,15.0,26.0
416,23.0,35.0,22.0
417,21.0,27.0,22.0
418,20.0,66.0,23.0
419,28.0,73.0,21.0
420,33.0,21.0,16.0
421,27.0,21.0,21.0
422,41.0,49.0,21.0
423,19.0,22.0,15.0
424,12.0,26.0,16.0
425,99.0,19.0,17.0
426,17.0,23.0,29.0
427,43.0,49.0,22.0
428,37.0,30.0,39.0
429,44.0,38.0,22.0
430,37.0,29.0,33.0
431,21.0,48.0,34.0
432,36.0,14.0,15.0
433,57.0,28.0,22.0
434,99.0,26.0,30.0
435,46.0,57.0,18.0
436,44.0,27.0,18.0
437,25.0,103.0,16.0
438,35.0,31.0,20.0
439,10.0,17.0,33.0
440,30.0,99.0,22.0
441,54.0,34.0,45.0
442,15.0,26.0,19.0
443,19.0,13.0,19.0
444,22.0,25.0,21.0
445,38.0,27.0,23.0
446,46.0,131.0,45.0
447,15.0,52.0,16.0
448,14.0,40.0,16.0
449,19.0,16.0,35.0
450,38.0,30.0,67.0
451,41.0,31.0,48.0
452,141.0,40.0,78.0
453,11.0,63.0,25.0
454,16.0,38.0,38.0
455,24.0,73.0,23.0
456,48.0,29.0,36.0
457,88.0,23.0,19.0
458,38.0,12.0,32.0
459,27.0,32.0,20.0
460,37.0,24.0,15.0
461,36.0,36.0,25.0
462,10.0,28.0,34.0
463,54.0,32.0,37.0
464,30.0,16.0,22.0
465,25.0,16.0,24.0
